editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,46,VIERLINGSBEEK 1,Top. Inrichting,,1881,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/46 Vierlingsbeek-1.jpg
1,46,VIERLINGSBEEK 2,Top. Inrichting,,1889,1887,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/46 Vierlingsbeek-2.jpg
1,46,VIERLINGSBEEK 3,Top. Inrichting,,1888,1887,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/46 Vierlingsbeek-3.jpg
1,48,MIDDELBURG 1,Top. Bureau,,1872,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/48 Middelburg-1.jpg
1,48,MIDDELBURG 2,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/48 Middelburg-2.jpg
1,48,MIDDELBURG 3,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/48 Middelburg-3.jpg
1,48,MIDDELBURG 4,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/48 Middelburg-4.jpg
1,49,BERGEN OP ZOOM 1,Top. Bur.,,1875,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/49 Bergen op Zoom-1.jpg
1,49,BERGEN OP ZOOM 2,Top. Bur.,,1875,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/49 Bergen op Zoom-2.jpg
1,49,BERGEN OP ZOOM 3,Top. Bur.,,1875,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/49 Bergen op Zoom-3.jpg
1,49,BERGEN OP ZOOM 4,Top. Bur.,,1875,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/49 Bergen op Zoom-4.jpg
1,50,BREDA 1,Top. Bur.,,1876,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/50 Breda-1.jpg
